"pitches,""player_id"",""player_name"",""total_pitches"",""pitch_percent"",""ba"",""iso"",""babip"",""slg"",""woba"",""xwoba"",""xba"",""hits"",""abs"",""launch_speed"",""launch_angle"",""spin_rate"",""velocity"",""effective_speed"",""whiffs"",""swings"",""takes"",""eff_min_vel"",""release_extension"",""pos3_int_start_distance"",""pos4_int_start_distance"",""pos5_int_start_distance"",""pos6_int_start_distance"",""pos7_int_start_distance"",""pos8_int_start_distance"",""pos9_int_start_distance"",""pitcher_run_exp"",""run_exp"",""bat_speed"",""swing_length"",""miss_distance"",""pa"",""bip"",""singles"",""doubles"",""triples"",""hrs"",""so"",""k_percent"",""bb"",""bb_percent"",""api_break_z_with_gravity"",""api_break_z_induced"",""api_break_x_arm"",""api_break_x_batter_in"",""hyper_speed"",""bbdist"",""hardhit_percent"",""barrels_per_bbe_percent"",""barrels_per_pa_percent"",""release_pos_z"",""release_pos_x"",""plate_x"",""plate_z"",""obp"",""barrels_total"",""batter_run_value_per_100"",""xobp"",""xslg"",""pitcher_run_value_per_100"",""xbadiff"",""xobpdiff"",""xslgdiff"",""wobadiff"",""swing_miss_percent"",""arm_angle"",""attack_angle"",""attack_direction"",""swing_path_tilt"",""rate_ideal_attack_angle"",""intercept_ball_minus_batter_pos_x_inches"",""intercept_ball_minus_batter_pos_y_inches"""
"478,663903,""Singer, Brady"",2077,23,0.279,0.117,0.333,0.396,0.327,0.327,0.282,31,111,89.6,18.4,2407,87.6,88.76,57,222,256,1.2000000000000028,6.84,117,146,112,150,286,326,297,""-0.829"",""0.829"",""70.0"",""7.2"",""3.169698734"",123,87,24,4,0,3,25,20.3,10,8.1,""2.49"",""0.48"",""0.41"",""-0.41"",""91.7"",167,40.69767441860465,3.488372093023256,2.4390243902439024,5.07,-1.34,0.06,2.23,0.341,3,""0.173430962"",0.344,0.399,""-0.173430962"",-0.003,-0.002999999999999947,-0.003,0,25.7,""22.1"",10.261831332125707,-3.2141907492054953,33.74560554233687,0.4090909090909091,35.39525503518681,32.32449237184604"
"476,607625,""Lugo, Seth"",2157,22.1,0.28,0.224,0.309,0.505,0.377,0.358,0.281,30,107,88.5,14.1,2484,85.7,85.16,37,199,277,-0.5,5.8,115,146,115,152,293,326,296,""-8.352"",""8.352"",""70.2"",""7.1"",""1.871502168"",124,87,17,7,1,5,22,17.7,11,8.9,""2.87"",""0.29"",""0.1"",""-0.1"",""92.0"",150,45.348837209302324,4.651162790697675,3.225806451612903,5.44,-2.03,-0.33,2.32,0.366,4,""1.754621849"",0.368,0.442,""-1.754621849"",-0.001,-0.0020000000000000018,0.063,0.019,18.6,""26.8"",8.665736021592075,0.42596775247423935,34.250947600357016,0.4416243654822335,36.8964426274944,30.015810612549448"
"471,605400,""Nola, Aaron"",2178,21.6,0.261,0.234,0.286,0.495,0.347,0.308,0.233,29,111,90.4,14.1,2191,86,87.06,61,216,255,1.0999999999999943,6.9,116,146,117,149,290,326,299,""-3.256"",""3.256"",""70.8"",""7.5"",""3.502456294"",123,84,17,5,0,7,28,22.8,11,8.9,""2.85"",""0.27"",""0.45"",""-0.45"",""92.8"",158,48.80952380952381,9.523809523809524,6.504065040650407,4.92,-1.88,-0.12,1.99,0.325,8,""0.691295117"",0.301,0.422,""-0.691295117"",0.028,0.02400000000000002,0.073,0.039,28.2,""18.6"",15.496685464413254,-10.35371150756208,34.53729259144344,0.4444444444444444,37.665831150870765,36.44774403964557"
"462,671737,""Bradley, Taj"",2242,20.6,0.196,0.127,0.262,0.324,0.277,0.285,0.197,20,102,88.6,9.4,2154,93.1,93.54,67,228,234,0.4000000000000057,6.46,118,147,114,152,291,326,300,""1.211"",""-1.211"",""70.5"",""7.2"",""2.214745774"",115,68,13,4,0,3,34,29.6,13,11.3,""1.89"",""0.74"",""0.38"",""-0.38"",""91.7"",157,41.17647058823529,10.294117647058822,6.086956521739131,6.13,-1.17,-0.19,2.14,0.287,7,""-0.262121212"",0.288,0.352,""0.262121212"",-0.001,-0.0010000000000000009,-0.028,-0.008,29.4,""54.6"",8.308812274128078,0.6291360385106571,33.17653922807085,0.4690265486725664,36.280816898545176,29.50617706784637"
"456,693645,""Schlittler, Cam"",2292,19.9,0.175,0.136,0.288,0.311,0.247,0.247,0.183,18,103,90.6,17.4,2615,96.1,97.16,91,245,211,1.1000000000000085,6.77,117,147,115,152,285,327,296,""6.616"",""-6.616"",""68.0"",""6.7"",""1.914206083"",112,55,10,5,0,3,48,42.9,7,6.3,""1.58"",""0.89"",""0.24"",""-0.24"",""91.4"",178,41.81818181818181,9.090909090909092,4.464285714285714,6.14,-1.72,-0.13,2.64,0.241,5,""-1.450877193"",0.248,0.303,""1.450877193"",-0.008,-0.007000000000000006,0.008,0,37.1,""42.0"",4.602241108182722,9.774011854671336,31.156868370985176,0.3884297520661157,36.79598141504163,23.639188323482205"
"441,543037,""Cole, Gerrit"",1248,35.3,0.188,0.139,0.258,0.327,0.243,0.276,0.228,19,101,89.4,24.3,2325,91.9,91.81,60,219,222,-0.10000000000000853,6.28,119,146,114,152,288,328,294,""5.9"",""-5.9"",""70.8"",""7.1"",""1.768794348"",106,65,11,5,0,3,36,34,5,4.7,""2.01"",""0.72"",""0.51"",""-0.51"",""91.4"",177,41.53846153846154,9.230769230769232,5.660377358490567,5.77,-2.1,-0.19,2.27,0.226,6,""-1.337868481"",0.264,0.369,""1.337868481"",-0.04,-0.038000000000000006,-0.042,-0.033,27.4,""37.0"",9.35734723602415,0.9797095911054302,34.11792962730537,0.5023041474654378,36.97532143872736,28.945231566460908"
"431,547179,""Lorenzen, Michael"",2106,20.5,0.296,0.185,0.29,0.481,0.388,0.388,0.291,24,81,91.9,12.3,2327,88.7,88.41,30,181,250,-0.29999999999999716,5.79,115,144,115,149,297,328,303,""-9.608"",""9.608"",""71.4"",""7.2"",""2.979257332"",102,73,18,1,1,4,11,10.8,18,17.6,""2.32"",""0.57"",""0.78"",""-0.78"",""92.4"",167,39.726027397260275,10.95890410958904,7.8431372549019605,5.62,-1.88,-0.38,2.32,0.412,8,""2.229234339"",0.412,0.473,""-2.229234339"",0.005,0,0.008,0,16.6,""35.6"",9.610581683031745,-0.025420424780321138,33.89529368095561,0.35555555555555557,37.483612440893964,30.531561985684885"
"420,690997,""McLean, Nolan"",2172,19.3,0.263,0.152,0.333,0.414,0.332,0.349,0.272,26,99,89.5,10.6,2569,90.5,90.49,45,185,235,0,6.4,116,148,120,152,294,327,308,""-1.441"",""1.441"",""69.6"",""7.0"",""2.200129168"",111,71,19,3,0,4,29,26.1,10,9,""2.62"",""0.21"",""0.2"",""-0.2"",""91.6"",165,38.028169014084504,9.859154929577464,6.306306306306306,5.25,-4.08,-0.3,2.35,0.336,7,""0.343095238"",0.345,0.456,""-0.343095238"",-0.009,-0.008999999999999952,-0.042,-0.017,24.3,""29.3"",7.583317041819053,2.1633984187169086,34.04869189173724,0.4725274725274725,36.858722841882354,28.414776647692474"
"420,694973,""Skenes, Paul"",2208,19,0.247,0.18,0.345,0.427,0.332,0.304,0.227,22,89,89.3,19.9,2054,93.2,94.07,68,224,196,0.8999999999999915,6.77,112,144,112,151,298,323,304,""-0.435"",""0.435"",""69.6"",""7.0"",""1.647997929"",100,60,11,8,1,2,29,29,11,11,""1.93"",""0.71"",""0.83"",""-0.83"",""91.3"",175,48.333333333333336,11.666666666666666,7.000000000000001,5.57,-2.11,-0.17,2.45,0.33,7,""0.103571429"",0.312,0.371,""-0.103571429"",0.02,0.018000000000000016,0.056,0.028,30.4,""25.6"",8.167936289019876,2.1969056253946224,31.572214405503942,0.49107142857142855,37.53479968025359,28.68213816179338"
"415,645261,""Alcantara, Sandy"",2467,16.8,0.146,0.094,0.174,0.24,0.193,0.254,0.196,14,96,88.2,17.6,2184,92.8,92.22,46,203,212,-0.5999999999999943,6,116,147,107,151,299,327,302,""11.932"",""-11.932"",""70.7"",""7.0"",""1.847705809"",104,71,9,3,0,2,27,26,6,5.8,""2.16"",""0.52"",""0.7"",""-0.7"",""91.0"",155,34.285714285714285,7.142857142857142,4.807692307692308,5.9,-1.9,-0.37,2.39,0.192,5,""-2.875180723"",0.239,0.346,""2.875180723"",-0.05,-0.046999999999999986,-0.106,-0.061,22.7,""33.0"",7.852726120199916,3.0295384237284244,33.52793393208908,0.49,37.888804415150396,28.299954434878572"
