"pitches,""player_id"",""player_name"",""total_pitches"",""pitch_percent"",""ba"",""iso"",""babip"",""slg"",""woba"",""xwoba"",""xba"",""hits"",""abs"",""launch_speed"",""launch_angle"",""spin_rate"",""velocity"",""effective_speed"",""whiffs"",""swings"",""takes"",""eff_min_vel"",""release_extension"",""pos3_int_start_distance"",""pos4_int_start_distance"",""pos5_int_start_distance"",""pos6_int_start_distance"",""pos7_int_start_distance"",""pos8_int_start_distance"",""pos9_int_start_distance"",""pitcher_run_exp"",""run_exp"",""bat_speed"",""swing_length"",""miss_distance"",""pa"",""bip"",""singles"",""doubles"",""triples"",""hrs"",""so"",""k_percent"",""bb"",""bb_percent"",""api_break_z_with_gravity"",""api_break_z_induced"",""api_break_x_arm"",""api_break_x_batter_in"",""hyper_speed"",""bbdist"",""hardhit_percent"",""barrels_per_bbe_percent"",""barrels_per_pa_percent"",""release_pos_z"",""release_pos_x"",""plate_x"",""plate_z"",""obp"",""barrels_total"",""batter_run_value_per_100"",""xobp"",""xslg"",""pitcher_run_value_per_100"",""xbadiff"",""xobpdiff"",""xslgdiff"",""wobadiff"",""swing_miss_percent"",""arm_angle"",""attack_angle"",""attack_direction"",""swing_path_tilt"",""rate_ideal_attack_angle"",""intercept_ball_minus_batter_pos_x_inches"",""intercept_ball_minus_batter_pos_y_inches"""
"521,676282,""Cantillo, Joey"",2091,24.9,0.31,0.142,0.478,0.451,0.369,0.263,0.195,35,113,88.6,5,2137,84.3,85.63,89,225,296,1.2999999999999972,7.23,106,151,117,144,302,324,290,""-6.747"",""6.747"",""71.2"",""7.6"",""3.478397213"",129,70,26,5,1,3,44,34.1,15,11.6,""3.22"",""0.04"",""-0.02"",""0.02"",""91.9"",117,47.82608695652174,5.797101449275362,3.10077519379845,5.8,0.98,0.02,1.97,0.388,4,""1.295009597"",0.287,0.287,""-1.295009597"",0.115,0.10100000000000003,0.164,0.106,39.6,""47.9"",12.286088007036533,-6.822165355262455,31.681391894388415,0.48847926267281105,36.993697967343024,34.61007541570423"
"497,675660,""Drohan, Shane"",1455,34.2,0.282,0.185,0.337,0.468,0.35,0.31,0.238,35,124,87.1,15.1,2561,90,89.83,63,230,267,-0.20000000000000284,6.16,108,152,122,147,306,326,299,""-3.277"",""3.277"",""71.1"",""7.2"",""1.940882303"",137,95,22,8,0,5,31,22.6,10,7.3,""2.32"",""0.52"",""0.45"",""-0.45"",""92.5"",162,38.94736842105263,10.526315789473683,7.2992700729927,5.4,1.64,-0.06,2.13,0.338,10,""0.659356137"",0.303,0.389,""-0.659356137"",0.044,0.03500000000000003,0.079,0.04,27.4,""31.7"",8.06847133859035,-0.7091576747039378,34.72189667021506,0.47161572052401746,34.26800482160797,29.74434091750107"
"483,695611,""Jump, Gage"",1262,38.3,0.327,0.257,0.453,0.584,0.429,0.352,0.275,33,101,89.6,12.8,2253,91,91.31,64,220,263,0.29999999999999716,6.38,105,149,115,145,299,320,289,""-11.625"",""11.625"",""69.4"",""7.0"",""1.973168177"",120,68,15,14,0,4,34,28.3,18,15,""2.12"",""0.66"",""0.31"",""-0.31"",""92.2"",162,45.588235294117645,8.823529411764707,5,5.56,1.85,0.12,2.12,0.425,6,""2.406832298"",0.382,0.416,""-2.406832298"",0.052,0.04299999999999998,0.168,0.077,29.1,""43.5"",5.739847651177275,2.5573851374768797,32.25469961236755,0.37037037037037035,36.26374597350148,28.610435303225294"
"477,571510,""Boyd, Matthew"",1234,38.7,0.215,0.116,0.227,0.331,0.278,0.324,0.254,26,121,87.4,17.4,2159,84.3,84.11,33,236,241,-0.20000000000000284,6.15,108,153,122,150,308,328,294,""4.1"",""-4.1"",""70.2"",""7.4"",""4.569093106"",133,101,20,2,0,4,20,15,9,6.8,""2.89"",""0.41"",""0.76"",""-0.76"",""91.3"",168,29.7029702970297,8.91089108910891,6.7669172932330826,5.4,2.28,0.25,2.29,0.286,9,""-0.859538784"",0.321,0.419,""0.859538784"",-0.039,-0.03500000000000003,-0.088,-0.046,14,""24.9"",10.721687499054648,-3.218537227675228,32.8335883811712,0.4829059829059829,38.662727322725374,32.525564557972025"
"462,666200,""Luzardo, Jesús"",2329,19.8,0.2,0.127,0.26,0.327,0.277,0.278,0.213,22,110,89.3,11.4,2183,90.1,88.92,66,215,247,-1.1999999999999886,5.68,110,152,116,145,296,324,283,""5.134"",""-5.134"",""70.4"",""7.3"",""4.114643304"",123,76,14,5,0,3,34,27.6,9,7.3,""2.47"",""0.38"",""0.49"",""-0.49"",""91.9"",150,38.666666666666664,8,4.878048780487805,5.55,2.79,-0.17,2.13,0.285,6,""-1.111255411"",0.297,0.316,""1.111255411"",-0.013,-0.01200000000000001,0.011,-0.001,30.7,""26.5"",9.669392877201323,-3.414639228207214,33.835072529763,0.3427230046948357,34.388814231350175,30.48950712824585"
"461,800048,""Messick, Parker"",2111,21.8,0.179,0.132,0.205,0.311,0.236,0.255,0.21,19,106,88.3,14.8,2102,91.2,91.46,45,221,240,0.29999999999999716,6.46,109,153,119,148,299,324,296,""5.439"",""-5.439"",""70.0"",""7.1"",""2.927839906"",112,81,11,5,0,3,25,22.3,6,5.4,""1.93"",""0.84"",""0.57"",""-0.57"",""91.3"",175,33.33333333333333,3.7037037037037033,2.6785714285714284,5.4,1.02,0.16,2.31,0.223,3,""-1.179826464"",0.252,0.327,""1.179826464"",-0.031,-0.028999999999999998,-0.016,-0.019,20.4,""40.8"",5.592919903708589,4.8433749325446795,29.152955094736985,0.4541284403669725,37.23797647370363,28.507601151534438"
"458,671096,""Abbott, Andrew"",2223,20.6,0.206,0.052,0.241,0.258,0.274,0.336,0.26,20,97,87,11.2,2424,86.6,86.81,44,203,255,0.20000000000000284,6.47,105,151,113,146,301,325,286,""2.838"",""-2.838"",""71.6"",""7.4"",""3.136205873"",115,80,17,2,0,1,18,15.7,17,14.8,""2.39"",""0.68"",""0.27"",""-0.27"",""91.3"",159,34.177215189873415,6.329113924050633,4.3478260869565215,6.02,2.65,0.35,2.18,0.322,5,""-0.619650655"",0.369,0.374,""0.619650655"",-0.054,-0.046999999999999986,-0.116,-0.062,21.7,""49.2"",9.82324447690523,0.8282785880735538,32.15435679608624,0.4752475247524752,40.24333199947985,30.20669004088854"
"454,656492,""Griffin, Foster"",2144,21.2,0.3,0.145,0.33,0.445,0.338,0.309,0.283,33,110,87.3,12.2,2147,85.9,85.95,55,230,224,0,6.18,104,150,118,147,307,328,297,""-1.707"",""1.707"",""70.8"",""7.1"",""2.203555163"",118,95,23,7,0,3,17,14.4,6,5.1,""2.65"",""0.46"",""-0.06"",""0.06"",""92.3"",152,35.78947368421053,4.2105263157894735,3.389830508474576,5.86,2.76,0.26,2.28,0.333,4,""0.375991189"",0.318,0.39,""-0.375991189"",0.017,0.015000000000000013,0.055,0.029,23.9,""44.4"",6.0199229204048,3.782081847463933,34.091915241906754,0.38596491228070173,35.34016992921953,28.30548220829777"
"450,593958,""Rodriguez, Eduardo"",2276,19.8,0.274,0.142,0.321,0.415,0.321,0.318,0.262,29,106,85.9,20.6,2144,88.5,88.71,57,242,208,0.20000000000000284,6.37,108,149,119,147,308,322,288,""1.354"",""-1.354"",""70.4"",""7.1"",""2.149298114"",114,87,19,7,1,2,20,17.5,7,6.1,""2.1"",""0.83"",""0.67"",""-0.67"",""90.5"",174,32.18390804597701,6.896551724137931,5.263157894736842,5.97,1.3,0.12,2.44,0.319,6,""-0.300888889"",0.307,0.423,""0.300888889"",0.012,0.01200000000000001,-0.008,0.003,23.6,""42.6"",6.99086092740702,2.038858689369209,31.92646571199326,0.45188284518828453,37.369120169924685,27.599980367864266"
"450,693855,""Seymour, Ian"",1478,30.4,0.188,0.168,0.271,0.356,0.258,0.257,0.199,19,101,89.1,18.6,1987,85.7,85.8,75,226,224,0.09999999999999432,6.27,102,153,119,147,308,333,298,""4.414"",""-4.414"",""70.6"",""7.3"",""2.798528216"",109,62,10,4,2,3,40,36.7,7,6.4,""2.21"",""0.91"",""0.37"",""-0.37"",""91.1"",173,40.32258064516129,9.67741935483871,5.5045871559633035,5.66,1.42,0.22,2.37,0.239,6,""-0.980888889"",0.251,0.332,""0.980888889"",-0.011,-0.01200000000000001,0.024,0.001,33.2,""42.8"",10.367139259590827,-4.321696223742414,30.67594722058435,0.4864864864864865,38.24664104605866,32.449779350100705"
"443,640455,""Manaea, Sean"",1799,24.6,0.236,0.209,0.256,0.445,0.319,0.316,0.239,26,110,89.8,14,2126,86.9,87.83,50,245,198,0.8999999999999915,6.88,107,152,123,147,304,324,289,""-0.075"",""0.075"",""71.3"",""7.1"",""2.250405058"",120,84,15,5,0,6,27,22.5,6,5,""2.52"",""0.56"",""0.53"",""-0.53"",""91.9"",180,45.23809523809524,11.904761904761903,8.333333333333332,5.14,3.22,0.1,2.49,0.292,10,""0.016930023"",0.295,0.435,""-0.016930023"",-0.003,-0.0030000000000000027,0.01,0.003,20.4,""15.2"",6.050700512725446,3.8916821219762214,32.428183760846565,0.4315352697095436,36.825399554774286,28.011398497589525"
"439,650911,""Sánchez, Cristopher"",2300,19.1,0.396,0.198,0.473,0.594,0.462,0.397,0.34,40,101,91.1,4.8,2079,90.6,91.51,59,196,243,0.9000000000000057,6.82,107,152,117,143,299,329,288,""-16.658"",""16.658"",""71.7"",""7.5"",""4.146490449"",115,79,30,5,0,5,22,19.1,11,9.6,""2.67"",""0.12"",""1.18"",""-1.18"",""93.1"",133,44.303797468354425,7.59493670886076,5.217391304347826,6.08,1.99,-0.01,1.9,0.47,6,""3.79453303"",0.42,0.481,""-3.79453303"",0.056,0.04999999999999999,0.113,0.065,30.1,""31.7"",13.55346271256617,-7.419488753804134,34.834757227965746,0.4717948717948718,37.74341029038169,33.05142586472584"
"436,702070,""Cameron, Noah"",2048,21.3,0.183,0.144,0.211,0.327,0.261,0.293,0.22,19,104,88.7,10.1,2145,86.6,86.93,62,208,228,0.30000000000001137,6.27,109,152,117,147,303,326,284,""6.378"",""-6.378"",""69.8"",""7.3"",""3.097323036"",116,79,10,6,0,3,26,22.4,10,8.6,""2.52"",""0.53"",""0.23"",""-0.23"",""91.7"",158,37.9746835443038,8.860759493670885,6.0344827586206895,6.28,1.3,0.09,2.32,0.259,7,""-1.462844037"",0.294,0.37,""1.462844037"",-0.037,-0.034999999999999976,-0.043,-0.032,29.8,""54.0"",9.38726158102563,-1.7606623014807343,32.56727241214365,0.5048076923076923,36.29519436380291,30.81625356670781"
"428,677960,""Weathers, Ryan"",2008,21.3,0.27,0.079,0.354,0.348,0.313,0.319,0.268,24,89,89.9,0.8,2328,88.1,87.35,55,194,234,-0.7999999999999972,5.77,105,149,123,148,293,325,291,""-1.665"",""1.665"",""71.1"",""7.7"",""4.100703697"",99,66,19,4,0,1,23,23.2,8,8.1,""2.67"",""0.3"",""0.47"",""-0.47"",""92.2"",120,42.42424242424242,3.0303030303030303,2.0202020202020203,5.44,2.87,0.23,1.99,0.343,2,""0.389018692"",0.342,0.374,""-0.389018692"",0.002,0.0010000000000000009,-0.026,-0.006,28.4,""32.0"",12.801040548042462,-6.557296589752865,33.12239765915146,0.4842105263157895,38.54287385418451,32.74180146308174"
"420,669022,""Gore, MacKenzie"",2168,19.4,0.235,0.235,0.266,0.471,0.323,0.269,0.206,24,102,86.1,20.3,2154,90.4,91.28,71,229,191,0.8999999999999915,6.82,107,152,116,146,304,329,297,""0.706"",""-0.706"",""70.2"",""7.2"",""2.987927832"",111,72,14,3,0,7,32,28.8,4,3.6,""2.07"",""0.76"",""0.48"",""-0.48"",""91.7"",159,37.5,9.722222222222223,6.306306306306306,5.64,1.75,0.02,2.34,0.282,7,""-0.168095238"",0.256,0.36,""0.168095238"",0.029,0.025999999999999968,0.111,0.054,31,""47.8"",6.352093882029658,2.2208899839994345,30.973170219684455,0.48,37.03647906093933,28.412817728184866"
"409,669373,""Skubal, Tarik"",1517,27,0.19,0.11,0.258,0.3,0.247,0.261,0.192,19,100,84.5,15.9,2142,92.3,92.52,75,214,195,0.20000000000000284,6.35,109,153,119,147,304,328,287,""7.626"",""-7.626"",""70.2"",""7.2"",""3.620557715"",109,69,12,5,0,2,32,29.4,7,6.4,""1.85"",""0.85"",""0.52"",""-0.52"",""90.7"",181,28.985507246376812,8.695652173913043,5.5045871559633035,6.13,1.89,0.19,2.45,0.25,6,""-1.864547677"",0.252,0.336,""1.864547677"",-0.002,-0.0020000000000000018,-0.036,-0.014,35,""47.7"",8.780500990616263,0.5523336297523876,31.875432582748616,0.4449760765550239,38.09114114704211,28.31465118122504"
"407,687562,""Bennett, Jake"",1076,37.8,0.231,0.116,0.253,0.347,0.268,0.301,0.25,28,121,85.4,14.7,2068,88.1,89.49,47,216,191,1.4000000000000057,7.13,106,153,121,147,300,318,293,""4.071"",""-4.071"",""69.2"",""7.2"",""4.641553876"",128,104,20,5,0,3,19,14.8,3,2.3,""2.42"",""0.55"",""0.93"",""-0.93"",""91.9"",163,38.46153846153847,5.769230769230769,4.6875,5.67,3.08,0.26,2.24,0.262,6,""-1.0002457"",0.28,0.415,""1.0002457"",-0.019,-0.018000000000000016,-0.068,-0.033,21.8,""31.8"",8.580529050229863,0.036863986166910445,32.02904964405284,0.45754716981132076,38.37056758398234,31.336289437445505"
"406,641743,""Kay, Anthony"",2066,19.7,0.233,0.186,0.246,0.419,0.352,0.349,0.243,20,86,85.1,9.9,2290,89.8,88.97,54,199,207,-0.7999999999999972,5.84,102,152,119,144,299,328,290,""-3.805"",""3.805"",""71.1"",""7.4"",""2.035105008"",105,70,12,4,0,4,17,16.2,12,11.4,""2.46"",""0.4"",""0.27"",""-0.27"",""92.5"",135,42.857142857142854,11.428571428571429,7.6190476190476195,5.68,2.41,-0.18,2.19,0.365,8,""0.937192118"",0.375,0.395,""-0.937192118"",-0.01,-0.010000000000000009,0.024,0.003,27.1,""34.1"",9.348437417673333,-3.859537320683482,31.17185625895922,0.4642857142857143,34.80233808140886,30.539105778604068"
"406,607536,""Freeland, Kyle"",1845,22,0.247,0.258,0.263,0.505,0.336,0.333,0.269,24,97,90.6,12.1,2242,87.6,88.55,44,196,210,1,6.61,105,152,115,146,306,329,292,""1.353"",""-1.353"",""70.5"",""7.3"",""3.071167757"",104,80,9,9,2,4,18,17.3,5,4.8,""2.48"",""0.48"",""0.41"",""-0.41"",""92.6"",156,48.75,10,7.6923076923076925,5.68,2.72,0.05,2.29,0.288,8,""-0.333251232"",0.308,0.467,""0.333251232"",-0.022,-0.020000000000000018,0.038,0.003,22.4,""25.4"",9.012008469120344,-3.1606792468511076,32.964806184133884,0.5284974093264249,35.55407572758659,29.962433362070062"
"406,592662,""Ray, Robbie"",2154,18.8,0.242,0.132,0.299,0.374,0.323,0.313,0.238,22,91,88.6,17.8,2066,87.9,88.06,45,193,213,0.19999999999998863,6.27,106,152,121,147,301,324,292,""0.254"",""-0.254"",""70.8"",""7.4"",""3.686721315"",105,69,14,6,0,2,22,21,13,12.4,""2.28"",""0.69"",""0.65"",""-0.65"",""91.3"",163,34.78260869565217,5.797101449275362,3.8095238095238098,6.04,2.71,0.22,2.16,0.343,4,""-0.062561576"",0.34,0.353,""0.062561576"",0.004,0.0030000000000000027,0.021,0.01,23.3,""43.0"",9.284660560509653,-1.3379790572307584,32.907676419624764,0.45108695652173914,37.75286776080432,30.628009131995455"
"401,669432,""Rogers, Trevor"",1877,21.4,0.245,0.122,0.306,0.367,0.283,0.288,0.243,24,98,91.9,15.7,2193,89.1,89.83,55,227,174,0.7000000000000028,6.75,105,152,118,144,306,328,294,""3.568"",""-3.568"",""70.7"",""7.4"",""2.570371087"",106,74,17,4,1,2,26,24.5,6,5.7,""2.14"",""0.77"",""0.66"",""-0.66"",""92.1"",163,45.83333333333333,6.944444444444445,4.716981132075472,5.76,2.19,0.03,2.25,0.283,5,""-0.889775561"",0.288,0.365,""0.889775561"",0.002,-0.0050000000000000044,0.002,-0.005,24.2,""23.1"",10.583980802836694,-0.70359404803914,32.834619815579565,0.5377777777777778,36.73674258271563,30.789472327980096"
"401,801139,""Tolle, Payton"",1626,24.7,0.242,0.232,0.367,0.474,0.331,0.26,0.195,23,95,89,15.3,2250,93,94.89,74,237,164,1.9000000000000057,7.3,104,151,120,145,294,319,291,""-0.325"",""0.325"",""70.6"",""7.1"",""2.351596622"",102,54,12,5,1,5,41,40.2,6,5.9,""1.79"",""0.85"",""0.56"",""-0.56"",""90.6"",186,40.74074074074074,12.962962962962962,6.862745098039216,5.48,2.71,0.04,2.51,0.294,7,""0.081047382"",0.25,0.343,""-0.081047382"",0.047,0.043999999999999984,0.131,0.071,31.2,""27.6"",6.463952144600236,3.4119355492182706,31.548758953071456,0.4444444444444444,35.491240170226355,27.05343412108306"
"398,672282,""Detmers, Reid"",2132,18.7,0.247,0.271,0.3,0.518,0.347,0.347,0.251,21,85,92.2,19.7,2232,87.3,87.16,54,190,208,-0.09999999999999432,6.37,111,151,121,148,310,329,300,""-2.271"",""2.271"",""69.9"",""7.3"",""3.186149024"",91,56,11,3,1,6,29,31.9,6,6.6,""2.62"",""0.48"",""0.22"",""-0.22"",""92.5"",183,42.857142857142854,16.071428571428573,9.89010989010989,6.02,1.92,-0.03,2.31,0.297,9,""0.570603015"",0.3,0.513,""-0.570603015"",-0.004,-0.0030000000000000027,0.005,0,28.4,""41.0"",10.139671058735143,-2.408421036453076,30.909956812680175,0.543010752688172,36.246689881189795,30.86921242595059"
"398,664285,""Valdez, Framber"",2028,19.6,0.278,0.093,0.321,0.371,0.326,0.32,0.268,27,97,90.2,3,2307,87.2,86.29,32,185,213,-0.9000000000000057,5.72,105,151,118,147,305,326,286,""0.428"",""-0.428"",""70.3"",""7.1"",""2.554636459"",110,80,22,3,0,2,18,16.4,9,8.2,""3.19"",""-0.13"",""0.33"",""-0.33"",""93.1"",117,48.75,3.75,2.727272727272727,5.95,0.89,-0.15,2.05,0.355,3,""-0.107537688"",0.346,0.367,""0.107537688"",0.01,0.009000000000000008,0.004,0.006,17.3,""43.4"",8.21864884877967,-1.4486580374955946,33.080348059060135,0.4918032786885246,35.39833277311962,30.82968078831837"
"397,656849,""Peterson, David"",1743,22.8,0.256,0.14,0.282,0.395,0.332,0.356,0.277,22,86,86.6,8.2,2045,88.9,90.58,35,175,222,1.6999999999999886,7.1,109,153,123,149,306,321,293,""-1.955"",""1.955"",""71.1"",""7.3"",""1.879986499"",100,73,14,6,0,2,14,14,13,13,""2.36"",""0.53"",""0.59"",""-0.59"",""92.0"",154,41.0958904109589,5.47945205479452,4,6.12,1.37,0.25,2.37,0.35,4,""0.492443325"",0.369,0.441,""-0.492443325"",-0.021,-0.019000000000000017,-0.046,-0.024,20,""40.1"",8.251636166354691,-0.534005030276221,32.71575117117815,0.4647058823529412,36.83505555826362,28.56613749766168"
"397,684007,""Imanaga, Shota"",2075,19.1,0.269,0.075,0.333,0.344,0.281,0.293,0.261,25,93,89.2,18,1971,85.5,85.44,53,214,183,-0.09999999999999432,6.2,108,154,122,150,306,324,293,""3.961"",""-3.961"",""71.5"",""7.5"",""3.685318788"",96,71,22,1,0,2,22,22.9,3,3.1,""2.44"",""0.71"",""0.64"",""-0.64"",""91.5"",145,35.2112676056338,4.225352112676056,3.125,5.43,1.3,0.09,2.38,0.292,3,""-0.997732997"",0.284,0.391,""0.997732997"",0.008,0.008000000000000007,-0.047,-0.012,24.8,""36.8"",12.84622741473794,-6.968891016384695,32.67333541150317,0.49523809523809526,36.913268348765406,33.98661727776774"
"395,519242,""Sale, Chris"",1970,20.1,0.169,0.079,0.245,0.247,0.208,0.247,0.201,15,89,91.9,18.6,2412,88.7,88.93,74,208,187,0.20000000000000284,6.51,109,151,125,148,310,325,295,""8.546"",""-8.546"",""69.4"",""7.3"",""3.776796398"",94,55,12,1,0,2,34,36.2,4,4.3,""2.7"",""0.27"",""0.29"",""-0.29"",""92.3"",158,45.45454545454545,7.2727272727272725,4.25531914893617,4.85,2.94,-0.13,2.19,0.213,4,""-2.163544304"",0.243,0.317,""2.163544304"",-0.032,-0.03,-0.07,-0.039,35.6,""11.6"",9.502821131278475,-1.460585406584404,33.3083527736196,0.47058823529411764,35.85893440942036,29.99660166649177"
"377,669461,""Liberatore, Matthew"",1915,19.7,0.275,0.132,0.354,0.407,0.324,0.27,0.218,25,91,88,20.3,2408,88.1,88.19,47,181,196,0.10000000000000853,6.3,105,152,116,146,311,319,293,""1.347"",""-1.347"",""71.5"",""7.6"",""4.305779287"",100,67,17,6,0,2,25,25,6,6,""2.62"",""0.34"",""0.16"",""-0.16"",""92.0"",163,35.82089552238806,2.9850746268656714,2,6.5,0.73,-0.07,2.18,0.33,2,""-0.35729443"",0.279,0.329,""0.35729443"",0.057,0.05099999999999999,0.078,0.054,26,""45.3"",10.94056870612305,-7.544700605512569,33.95864574430885,0.4915254237288136,35.03710247726912,32.795003252944845"
"374,674841,""Alvarez, Andrew"",1163,32.2,0.227,0.034,0.27,0.261,0.281,0.31,0.237,20,88,86,9,2468,87.2,87.47,44,172,202,0.29999999999999716,6.27,102,150,117,147,305,329,301,""3.268"",""-3.268"",""69.6"",""7.4"",""6.090497757"",105,74,17,3,0,0,16,15.2,12,11.4,""2.89"",""0.12"",""0.01"",""-0.01"",""92.1"",144,35.13513513513514,4.054054054054054,2.857142857142857,6.42,1.29,-0.19,2.02,0.333,3,""-0.873796791"",0.347,0.327,""0.873796791"",-0.01,-0.013999999999999957,-0.066,-0.029,25.6,""48.3"",9.969089353495136,-3.068549517330278,32.81894770755796,0.5059523809523809,34.164726957461816,32.20911334309783"
"370,702273,""Schultz, Noah"",1147,32.3,0.291,0.163,0.333,0.453,0.354,0.375,0.304,25,86,89.8,13.2,2446,90.6,90.87,39,188,182,0.30000000000001137,6.33,101,151,118,144,301,330,294,""-5.172"",""5.172"",""70.3"",""7.2"",""2.061831776"",95,68,19,2,0,4,19,20,5,5.3,""2.29"",""0.49"",""0.54"",""-0.54"",""92.4"",158,47.05882352941176,8.823529411764707,6.315789473684211,5.82,2.17,0.07,2.35,0.351,6,""1.397837838"",0.363,0.503,""-1.397837838"",-0.013,-0.01200000000000001,-0.05,-0.021,20.7,""21.6"",8.383894671630287,-0.7914380066680999,31.844102695957083,0.43783783783783786,36.943624903393655,29.58824946585547"
"341,688107,""Gasser, Robert"",1114,30.6,0.315,0.202,0.338,0.517,0.382,0.387,0.329,28,89,88.9,19.4,2265,88.6,89.53,27,170,171,0.9000000000000057,6.89,108,153,121,149,302,324,298,""-4.995"",""4.995"",""71.0"",""7.3"",""4.262525342"",97,76,18,6,0,4,14,14.4,5,5.2,""2.28"",""0.65"",""0.25"",""-0.25"",""91.7"",167,38.15789473684211,5.263157894736842,4.123711340206185,5.05,2.8,0.06,2.24,0.365,4,""1.464809384"",0.378,0.513,""-1.464809384"",-0.014,-0.013000000000000012,0.004,-0.005,15.9,""23.9"",8.503134404710988,-4.837639466428387,34.365037960651726,0.5696969696969697,35.97699024224044,30.57986708719346"
"338,682052,""Lopez, Jacob"",1413,23.9,0.254,0.149,0.349,0.403,0.347,0.258,0.165,17,67,85,28.6,2299,84.1,85.18,52,157,181,1.1000000000000085,6.97,104,150,117,146,304,321,289,""-2.795"",""2.795"",""69.1"",""7.3"",""3.438920455"",79,45,11,4,0,2,22,27.8,9,11.4,""2.65"",""0.63"",""0.31"",""-0.31"",""90.3"",171,26.666666666666668,6.666666666666667,3.79746835443038,5.07,3.55,0.26,2.45,0.367,3,""0.826923077"",0.292,0.25,""-0.826923077"",0.089,0.07500000000000001,0.153,0.089,33.1,""18.1"",13.477806186634112,-3.8043690695651753,31.44427102780332,0.43312101910828027,38.00981185524219,33.89083114662633"
"331,671737,""Bradley, Taj"",2242,14.8,0.227,0.107,0.3,0.333,0.287,0.286,0.232,17,75,90.4,14.8,2247,93,93.39,35,163,168,0.4000000000000057,6.44,106,152,117,144,294,329,295,""1.507"",""-1.507"",""70.2"",""7.4"",""3.334284276"",83,52,13,2,0,2,23,27.7,7,8.4,""1.96"",""0.69"",""0.13"",""0.13"",""91.8"",162,48.07692307692308,1.9230769230769231,1.2048192771084338,6.17,-1.13,0.14,2.28,0.301,1,""-0.455287009"",0.306,0.331,""0.455287009"",-0.005,-0.0050000000000000044,0.002,0.001,21.5,""55.9"",9.73389104575553,-1.2667625853628277,30.351642732954115,0.5679012345679012,37.33976343915684,28.941321906189092"
"320,663567,""Lambert, Peter"",1890,16.9,0.257,0.081,0.36,0.338,0.303,0.257,0.188,19,74,86.6,21.1,2299,89.5,89.21,40,156,164,-0.29999999999999716,6.2,108,152,116,147,301,324,286,""0.099"",""-0.099"",""69.9"",""7.3"",""2.892166978"",82,51,15,3,0,1,23,28,6,7.3,""2.1"",""0.78"",""0.24"",""0.24"",""90.9"",149,29.411764705882355,5.88235294117647,3.6585365853658534,5.96,-2.48,0.16,2.34,0.329,3,""-0.0309375"",0.267,0.298,""0.0309375"",0.069,0.062,0.04,0.046,25.6,""48.2"",9.021685896286867,-3.1859200060891126,29.939059616285046,0.5369127516778524,36.40837986459845,31.23687830467901"
